股票代码,股票名称,除权除息日,分红金额,买入价格,除权价格,价差收益%,分红收益%,总收益%,是否盈利
600519,贵州茅台,2025-12-19,239.57,1446.38,1410.0,-2.52,16.56,14.05,✅
600519,贵州茅台,2025-06-26,276.73,1488.87,1396.23,-6.22,18.59,12.36,✅
600519,贵州茅台,2024-12-20,238.82,1466.81,1467.75,0.06,16.28,16.35,✅
600519,贵州茅台,2024-06-19,308.76,1589.78,1425.21,-10.35,19.42,9.07,✅
600519,贵州茅台,2023-12-20,191.06,1620.85,1534.7,-5.32,11.79,6.47,✅
600519,贵州茅台,2023-06-30,259.11,1475.34,1555.09,5.41,17.56,22.97,✅
600519,贵州茅台,2022-12-27,219.1,1361.19,1569.62,15.31,16.1,31.41,✅
600519,贵州茅台,2022-06-30,216.75,1596.18,1828.91,14.58,13.58,28.16,✅
600519,贵州茅台,2021-06-25,192.93,1945.9,1850.97,-4.88,9.91,5.04,✅
600519,贵州茅台,2020-06-24,170.25,1180.83,1279.74,8.38,14.42,22.79,✅
600519,贵州茅台,2019-06-28,145.39,778.56,852.55,9.5,18.67,28.18,✅
600519,贵州茅台,2018-06-15,109.99,618.34,660.24,6.78,17.79,24.56,✅
600519,贵州茅台,2017-07-07,67.87,380.95,375.43,-1.45,17.82,16.37,✅
600519,贵州茅台,2016-07-01,61.71,214.13,237.32,10.83,28.82,39.65,✅
600519,贵州茅台,2015-07-17,43.74,184.97,185.32,0.19,23.65,23.84,✅
600519,贵州茅台,2014-06-25,43.74,98.53,103.14,4.68,44.39,49.07,✅
600519,贵州茅台,2013-06-07,64.19,117.33,125.92,7.32,54.71,62.03,✅
600519,贵州茅台,2012-07-05,39.97,147.26,156.32,6.15,27.14,33.29,✅
600519,贵州茅台,2011-07-01,23.0,115.43,117.19,1.52,19.93,21.45,✅
600519,贵州茅台,2010-07-05,11.85,75.25,69.19,-8.05,15.75,7.69,✅
600519,贵州茅台,2009-07-01,11.56,63.66,79.36,24.66,18.16,42.82,✅
600519,贵州茅台,2008-06-16,8.36,98.34,78.12,-20.56,8.5,-12.06,❌
600519,贵州茅台,2007-07-13,7.0,64.04,61.55,-3.89,10.93,7.04,✅
600519,贵州茅台,2006-05-24,5.91,20.23,20.75,2.57,29.21,31.78,✅
600519,贵州茅台,2006-05-19,0.0,18.81,20.75,10.31,0.0,10.31,✅
600519,贵州茅台,2006-05-19,3.0,18.81,20.75,10.31,15.95,26.26,✅
600519,贵州茅台,2005-08-05,5.0,9.43,10.59,12.3,53.02,65.32,✅
600519,贵州茅台,2004-07-01,3.0,5.34,5.01,-6.18,56.18,50.0,✅
600519,贵州茅台,2003-07-14,2.0,3.31,3.4,2.72,60.42,63.14,✅
600519,贵州茅台,2002-07-25,6.0,4.4,4.16,-5.45,136.36,130.91,✅
600036,招商银行,2026-01-16,10.13,40.47,38.72,-4.32,25.03,20.71,✅
600036,招商银行,2025-07-11,20.0,42.33,44.49,5.1,47.25,52.35,✅
600036,招商银行,2024-07-11,19.72,29.4,30.74,4.56,67.07,71.63,✅
600036,招商银行,2023-07-13,17.38,28.17,28.07,-0.35,61.7,61.34,✅
600036,招商银行,2022-07-15,15.22,32.39,29.12,-10.1,46.99,36.89,✅
600036,招商银行,2021-07-13,12.53,43.96,39.99,-9.03,28.5,19.47,✅
600036,招商银行,2020-07-10,12.0,26.75,29.07,8.67,44.86,53.53,✅
600036,招商银行,2019-07-12,9.4,26.04,26.79,2.88,36.1,38.98,✅
600036,招商银行,2018-07-12,8.4,20.51,19.19,-6.44,40.96,34.52,✅
600036,招商银行,2017-06-14,7.4,14.27,15.2,6.52,51.86,58.37,✅
600036,招商银行,2016-07-13,6.9,11.49,11.77,2.44,60.05,62.49,✅
600036,招商银行,2015-07-03,6.7,12.44,11.68,-6.11,53.86,47.75,✅
600036,招商银行,2014-07-11,6.2,6.08,6.2,1.97,101.97,103.95,✅
600036,招商银行,2013-06-13,6.3,7.48,7.26,-2.94,84.22,81.28,✅
600036,招商银行,2012-06-07,4.2,6.69,6.31,-5.68,62.78,57.1,✅
600036,招商银行,2011-06-10,2.9,7.42,6.92,-6.74,39.08,32.35,✅
600036,招商银行,2010-07-01,2.1,6.83,6.78,-0.73,30.75,30.01,✅
600036,招商银行,2009-07-03,1.0,7.21,9.17,27.18,13.87,41.05,✅
600036,招商银行,2008-07-28,2.8,9.2,9.35,1.63,30.43,32.07,✅
600036,招商银行,2007-07-04,1.2,7.79,8.94,14.76,15.4,30.17,✅
600036,招商银行,2006-09-21,1.8,2.95,3.58,21.36,61.02,82.37,✅
600036,招商银行,2006-06-16,0.8,2.65,2.61,-1.51,30.19,28.68,✅
600036,招商银行,2006-02-24,0.0,2.17,2.17,0.0,0.0,0.0,❌
600036,招商银行,2005-06-20,1.1,1.64,1.75,6.71,67.07,73.78,✅
600036,招商银行,2004-05-11,0.92,1.64,1.67,1.83,56.1,57.93,✅
600036,招商银行,2003-07-16,1.2,1.8,1.86,3.33,66.67,70.0,✅
601318,中国平安,2025-10-24,9.5,54.4,57.88,6.4,17.46,23.86,✅
601318,中国平安,2025-06-30,16.2,50.94,54.58,7.15,31.8,38.95,✅
601318,中国平安,2024-10-18,9.3,41.11,54.67,32.98,22.62,55.61,✅
601318,中国平安,2024-07-26,15.0,37.81,38.65,2.22,39.67,41.89,✅
601318,中国平安,2023-10-25,9.3,43.65,41.32,-5.34,21.31,15.97,✅
601318,中国平安,2023-06-14,15.0,46.36,42.75,-7.79,32.36,24.57,✅
601318,中国平安,2022-10-20,9.2,36.51,34.54,-5.4,25.2,19.8,✅
601318,中国平安,2022-06-20,15.0,36.23,38.3,5.71,41.4,47.12,✅
601318,中国平安,2021-10-25,8.8,38.68,43.51,12.49,22.75,35.24,✅
601318,中国平安,2021-04-22,14.0,63.21,59.83,-5.35,22.15,16.8,✅
601318,中国平安,2020-09-16,8.0,63.39,62.06,-2.1,12.62,10.52,✅
601318,中国平安,2020-05-08,13.0,53.28,57.04,7.06,24.4,31.46,✅
601318,中国平安,2019-09-04,7.5,64.41,67.8,5.26,11.64,16.91,✅
601318,中国平安,2019-05-23,11.0,64.59,57.43,-11.09,17.03,5.95,✅
601318,中国平安,2018-09-06,6.2,44.26,46.02,3.98,14.01,17.98,✅
601318,中国平安,2018-06-07,10.0,45.99,46.99,2.17,21.74,23.92,✅
601318,中国平安,2017-09-04,5.0,37.53,40.21,7.14,13.32,20.46,✅
601318,中国平安,2017-07-11,5.5,34.41,37.02,7.59,15.98,23.57,✅
601318,中国平安,2016-09-05,2.0,22.87,24.85,8.66,8.75,17.4,✅
601318,中国平安,2016-07-05,3.5,22.74,22.79,0.22,15.39,15.61,✅
601318,中国平安,2015-09-09,1.8,24.52,21.25,-13.34,7.34,-6.0,❌
601318,中国平安,2015-07-27,5.0,26.89,25.55,-4.98,18.59,13.61,✅
601318,中国平安,2014-09-12,2.5,15.1,14.89,-1.39,16.56,15.17,✅
601318,中国平安,2014-06-27,4.5,13.59,13.42,-1.25,33.11,31.86,✅
601318,中国平安,2013-09-10,2.0,11.21,13.02,16.15,17.84,33.99,✅
601318,中国平安,2013-05-20,3.0,14.46,13.87,-4.08,20.75,16.67,✅
601318,中国平安,2012-09-26,1.5,13.05,13.6,4.21,11.49,15.71,✅
601318,中国平安,2012-07-16,2.5,15.38,14.63,-4.88,16.25,11.38,✅
601318,中国平安,2011-09-02,1.5,14.65,13.73,-6.28,10.24,3.96,✅
601318,中国平安,2011-07-21,4.0,14.72,15.3,3.94,27.17,31.11,✅
601318,中国平安,2010-09-09,1.5,15.29,15.99,4.58,9.81,14.39,✅
601318,中国平安,2010-07-13,3.0,14.8,15.29,3.31,20.27,23.58,✅
